ADDRESS,PRINCIPAL DUE, 
1516 ELLSWORTH ST ,5285.03, 
1516 N CONESTOGA ST ,4858.12, 
1516 N EDGEWOOD ST ,1918.93, 
1516 W CUMBERLAND ST ,753.26, 
1516 W LOUDON ST ,4678.97, 
1517 S 27TH ST ,3046.58, 
1517 W CUMBERLAND ST ,186.53, 
1518 BEVERLY RD ,23375.09, 
1518 S BOUVIER ST ,673.62, 
1518 W BOSTON ST ,1614.45, 
1519 FONTAIN ST ,4042.48, 
1519 KINSDALE ST ,6457.74, 
1519 MIFFLIN ST ,4922.88, 
1519 N 19TH ST ,0, 
1519 S 19TH ST ,3803.97, 
1519 W CAYUGA ST ,3864.27, 
1519 W WINGOHOCKING ST ,4921.51, 
152 MANHEIM ST ,7773.91, 
152 N 51ST ST ,4203.72, 
152 N 60TH ST ,4685.61, 
152 W WISHART ST ,4684.31, 
1520 S CLEVELAND ST ,1620.51, 
1521 S 05TH ST ,8867.98, 
1522 S TAYLOR ST ,1708.1, 
1524 N NEWKIRK ST ,2461.28, 
1524 S CORLIES ST ,2342.04, 
1524 SANSOM ST ,0, 
1524 W OAKDALE ST ,3253.97, 
1524 W WESTMORELAND ST ,503.4, 
1525 N AMERICAN ST ,45716.32, 
1525 S PATTON ST ,3885.56, 
1525 W PIKE ST ,7839.7, 
1525 W STILES ST ,707.32, 
1526 N PEACH ST ,4708.41, 
1526 S 56TH ST ,3015.66, 
1526 S WOODSTOCK ST ,2522.82, 
1526 W TIOGA ST ,4177.67, 
1528 MANTON ST ,3564.9, 
1528 S 27TH ST ,0, 
1529 S LAMBERT ST ,3219.53, 
1529 S NAPA ST ,5261.95, 
1529 S STANLEY ST ,0, 
153 COBBS CREEK PKY ,8612.63, 
153 N ROBINSON ST ,7916.88, 
1530 N 04TH ST ,1476.15, 
1530 N 60TH ST ,13248.77, 
1530 N BAILEY ST ,1608.6, 
1530 N PEACH ST ,4928.02, 
1530 S 52ND ST ,2956.71, 
1530 S OPAL ST ,955.8, 
1530 SNYDER AVE ,15054.5, 
1531 E HUNTING PARK AVE ,0, 
1531 N 09TH ST ,4717.54, 
1531 N REDFIELD ST ,608.22, 
1531 W BRISTOL ST ,4881.82, 
1532 N DOVER ST ,3527.63, 
1532 S 05TH ST ,845.76, 
1532 S HICKS ST ,5408.1, 
1533 66TH AVE ,8109.99, 
1533 JACKSON ST ,5452.02, 
1533 S LAMBERT ST ,1029.78, 
1533 S STILLMAN ST ,679.17, 
1535 KERBAUGH ST ,1475.62, 
1537 MANTON ST ,110.44, 
1537 N MARSTON ST ,1432.05, 
1537 W ERIE AVE ,3813.29, 
1538 N MARSTON ST ,1447.44, 
1538 N STILLMAN ST ,2274, 
1538 W OAKDALE ST ,3806.94, 
1538 WADSWORTH AVE ,30040.32, 
1539 W BUTLER ST ,1976.14, 
154 MAYLAND ST ,920.37, 
154 W NORRIS ST ,3432.25, 
1540 S 08TH ST ,9057.47, 
1540 W RUSCOMB ST ,7235.45, 
1540R WADSWORTH AVE ,1180.09, 
1541 N NEWKIRK ST ,5840.64, 
1541 W PIKE ST ,2172.51, 
1542 N 58TH ST ,8014.33, 
1542 SOUTH ST ,841.09, 
1543 N 58TH ST ,2761.12, 
1543 S LAMBERT ST ,1029.78, 
1543 S RINGGOLD ST ,4820.93, 
1543 S STILLMAN ST ,852.77, 
1544 DORRANCE ST ,3731, 
1544 S HICKS ST ,4268.95, 
1544 SAINT LUKES ST ,21108.11, 
1545 S 58TH ST ,1812.52, 
1546 N FRAZIER ST ,5457.7, 
1546 S HICKS ST ,5350.65, 
1546 S STANLEY ST ,11847.3, 
1546 W OAKDALE ST ,3648.41, 
1547 S 31ST ST ,11374.33, 
1548 MC KEAN ST ,4797.09, 
1548 S OPAL ST ,3138.26, 
1549 N 29TH ST ,6227.36, 
1549 S TANEY ST ,1861.06, 
1550 MC KEAN ST ,5390.16, 
1550 N 27TH ST ,4730.03, 
1552 S CAPITOL ST ,334.54, 
1552R WADSWORTH AVE ,800.87, 
1553 S GARNET ST ,2779.67, 
1554 S CAPITOL ST ,1381.72, 
1554 S NEWKIRK ST ,3318.87, 
1554 W OAKDALE ST ,2967.49, 
1555 N 09TH ST ,1169.24, 
1555 PRATT ST ,1627.02, 
1559 E HUNTING PARK AVE ,603.95, 
156 MANHEIM ST ,10245.98, 
156 TIBER ST ,0, 
1562 WADSWORTH AVE ,558.99, 
157 MANHEIM ST ,8369.46, 
157 W PRICE ST ,2968.49, 
1599 WINDRIM AVE ,17954.83, 
16 E SHARPNACK ST ,2321.55, 
16 N 51ST ST ,1856.7, 
16 N 53RD ST ,9513.14, 
16 N PEACH ST ,1575.44, 
16 N SALFORD ST ,3555.8, 
16 S SICKELS ST ,5.1, 
160 E COURTLAND ST ,22877.75, 
160 W LIPPINCOTT ST ,2063.52, 
160 W ROCKLAND ST ,3874.1, 
1600 N 05TH ST ,500.28, 
1600 S 24TH ST ,1295.4, 
1601 MOUNT VERNON ST ,6703.92, 
1601 S 22ND ST ,3588, 
1601 S 24TH ST ,1826.97, 
1601 S 60TH ST ,13141.74, 
1601 SPRING GARDEN ST 200,1215.52, 
1601 STAUB ST ,6691.72, 
1602 N 05TH ST ,20460.84, 
1603 ROWAN ST ,6297.5, 
1603 S FRAZIER ST ,6540.33, 
1603 W LEHIGH AVE ,5981.57, 
1604 WALLACE ST ,17913.44, 
1607 N 11TH ST ,0, 
1607 PAGE ST ,4995.28, 
1608 N BOUVIER ST ,0, 
1608 S 53RD ST ,4259.74, 
1609 N 33RD ST ,976.25, 
161 PLEASANT ST ,54.61, 
1610 W LOUDON ST ,8780.05, 
1611 FOULKROD ST ,21044.74, 
1611 ROWAN ST ,509.11, 
1611 S 06TH ST ,271.53, 
1611 W TORONTO ST ,6105.31, 
1613 N 06TH ST ,2321.62, 
1613 W NEDRO AVE ,5127.49, 
1614 S 10TH ST ,440.16, 
1614 S 20TH ST ,3985.55, 
1614 S 53RD ST ,6384.44, 
1614 W CLEARFIELD ST ,7680.64, 
1615 MIFFLIN ST ,0, 
1615 N 60TH ST ,1138.41, 
1615 W ERIE AVE ,2439.38, 
1615 WOMRATH ST ,27.26, 
1616 ELAINE ST ,4869.41, 
1616 N 55TH ST ,3757.26, 
1616 S TANEY ST ,2829.03, 
1617 W ERIE AVE ,3725.84, 
1618 CADWALLADER ST ,0, 
1618 W JUNIATA ST ,3850.04, 
1618 W WESTMORELAND ST ,0, 
1619 S 20TH ST ,4717.17, 
1619 W HUNTINGDON ST ,4611.92, 
162 E WALNUT LN ,6150.29, 
1620 N 54TH ST ,2878.17, 
1620 W ONTARIO ST ,1095.46, 
1621 N 32ND ST ,639.53, 
1621 W LEHIGH AVE ,10426.48, 
1622 N REDFIELD ST ,8.72, 
1622 W WESTMORELAND ST ,6935.2, 
1623 E DUVAL ST ,10525.28, 
1623 KINSEY ST ,2520.29, 
1623 MANTON ST ,0, 
1623 N 26TH ST ,5008.07, 
1623 N FELTON ST ,11385.7, 
1623 N PHILIP ST ,1007.06, 
1623 S LAWRENCE ST ,2392.05, 
1624 N REDFIELD ST ,3921.13, 
1624 S LINDENWOOD ST ,5774.09, 
1624 W GLENWOOD AVE ,8974.62, 
1624 W JUNIATA ST ,3593.17, 
1624 W WESTMORELAND ST ,5668.35, 
1625 LEWIS ST ,11768.53, 
1627 N 07TH ST ,1019.7, 
1627 N DOVER ST ,3324.03, 
1627 S FRAZIER ST ,104.71, 
1627 W ONTARIO ST ,2363.87, 
1627 WOODBROOK LN ,31413.36, 
1628 S TANEY ST ,3014.02, 
1629 CECIL B MOORE AVE ,2288.64, 
1629 W THOMPSON ST ,4115.22, 
1629 W WESTMORELAND ST ,9044.05, 
1630 MARGARET ST ,4477.23, 
1630 W CLEARFIELD ST ,3724.69, 
1630 W TORONTO ST ,2161.33, 
1630 W YORK ST ,1620.51, 
1631 CECIL B MOORE AVE ,2388.64, 
1631 MOUNT VERNON ST ,19724.71, 
1631 W MENTOR ST ,0, 
1634 MASTER ST ,7917.23, 
1634 S LINDENWOOD ST ,2478.74, 
1635 N 20TH ST ,1337.35, 
1636 E EYRE ST ,1883.45, 
1636 N EDGEWOOD ST ,2780.69, 
1636 W CLEARFIELD ST ,5379.32, 
1637 CADWALLADER ST ,1946.16, 
1637 N EDGEWOOD ST ,6184.39, 
1637 S FRAZIER ST ,5707.87, 
1638 S RINGGOLD ST ,2850.76, 
1639 CROATAN PL ,9452.81, 
1639 S RINGGOLD ST ,2692.57, 
164 N 61ST ST ,5712.25, 
1640 N 06TH ST ,3170.81, 
1640 N HANCOCK ST ,13616.02, 
1640 S 28TH ST ,4932.68, 
1640 S ITHAN ST ,2729.8, 
1640 W WINGOHOCKING ST ,390.38, 
1641 N 27TH ST ,1065.13, 
1641 N 29TH ST ,4784.59, 
1641 WYNSAM ST ,17653.4, 
1643 W BRISTOL ST ,7581.35, 
1645 BELFIELD AVE ,9760.36, 
1645 N ALLISON ST ,8074.4, 
1647 E HUNTING PARK AVE ,2664.03, 
1649 W GRANGE AVE ,119.09, 
165 N 51ST ST ,1948.11, 
165 W SEYMOUR ST ,6201.69, 
1650 S TANEY ST ,2420.78, 
1651 N 08TH ST ,443.99, 
1652 S LAWRENCE ST ,4333.76, 
1653 MARGARET ST ,2851.97, 
1653 MEADOW ST ,6479.28, 
1654 N 30TH ST ,616.22, 
1654 N 57TH ST ,27281.23, 
1656 E WASHINGTON LN ,9465.43, 
1656 S CONESTOGA ST ,2446.39, 
1657 BRILL ST ,3978.81, 
1660 FOULKROD ST ,11362.67, 
1660 S CONESTOGA ST ,8815.79, 
1661 WOMRATH ST ,2917.79, 
1662 N 59TH ST ,1857.1, 
1667 MEADOW ST ,47037.88, 
1667 N 56TH ST ,9520.84, 
1669 MARGARET ST ,1492.45, 
167 W LEHIGH AVE ,4007.81, 
1671 FILLMORE ST ,2478.23, 
1674 N 54TH ST ,2690.08, 
1677 KINSEY ST ,4006.49, 
1681 FOULKROD ST ,3826.67, 
1681 N 56TH ST ,5103.24, 
1685 KINSEY ST ,8227.35, 
1695 MARGARET ST ,1458.03, 
17 E PRICE ST ,16132.94, 
17 SOLAR WAY ,1441.98, 
170 MAYLAND ST ,920.37, 
170 W SEYMOUR ST ,4449.23, 
1700 MIFFLIN ST ,3120.95, 
1700 W BRISTOL ST ,2566.11, 
1701 FOULKROD ST ,28082.9, 
1701 N 42ND ST ,1353, 
1701 W CAYUGA ST ,7771.4, 
1701 W JUNIATA ST ,3601.21, 
1702 N 52ND ST ,211.36, 
1703 N 19TH ST ,1292.5, 
1704 N NEWKIRK ST ,3808.55, 
1704 SEYBERT ST ,677.68, 
1704 W JUNIATA ST ,8487.66, 
1706 DICKINSON ST ,1938.75, 
1706 N 25TH ST ,3636.68, 
1706 N 55TH ST ,7958.66, 
1706 S BANCROFT ST ,5021.47, 
1707 W BUTLER ST ,2896.69, 
1708 CHESTNUT LN ,2415.01, 
1708 N ORIANNA ST ,573.81, 
1709 MASTER ST ,6137.52, 
1709 N 19TH ST ,629.52, 
1711 N 24TH ST ,5120.58, 
1711 N 52ND ST ,3028.1, 
1711 S 24TH ST ,5759.56, 
1712 DORRANCE ST ,6535.07, 
1712 N 25TH ST ,1462.5, 
1712 N ALLISON ST ,2504.36, 
1712 REED ST ,342.22, 
1712 W ALLEGHENY AVE ,3119.01, 
1713 N 61ST ST ,6779.77, 
1714 N 16TH ST ,1624.29, 
1714 N HOLLYWOOD ST ,2236.63, 
1714 N PEACH ST ,3644.53, 
1715 N 27TH ST ,2750.28, 
1715 N 56TH ST ,22839.1, 
1715 S 18TH ST ,5459.99, 
1716 JACKSON ST ,21206.41, 
1716 N WILTON ST ,2320.98, 
1717 DORRANCE ST ,3562.25, 
1718 N TANEY ST ,669.04, 
1718 S 05TH ST ,1733.94, 
1719 N FELTON ST ,5533.85, 
172 HANSBERRY ST ,7331.42, 
1720 S EDGEWOOD ST ,10209.73, 
1721 MIFFLIN ST ,1576.64, 
1721 N 26TH ST ,2098.07, 
1721 N 59TH ST ,4328.83, 
1721 N RUBY ST ,7510.52, 
1721 N STILLMAN ST ,3466.75, 
1722 W JUNIATA ST ,3039.4, 
1723 N 16TH ST ,63.5, 
1723 N 23RD ST ,3259.04, 
1723 N 26TH ST ,3714.33, 
1723 N 53RD ST ,5404.15, 
1723 N HOLLYWOOD ST ,2786.73, 
1723 TASKER ST ,5702.97, 
1723 W BRISTOL ST ,2309.53, 
1723 W VENANGO ST ,5390.91, 
1725 BRIDGE ST ,10487.24, 
1725 N DOVER ST ,1358.22, 
1725 PIERCE ST ,48.89, 
1726 N BOUVIER ST ,2749.08, 
1726 N REDFIELD ST ,5175.63, 
1726 S 54TH ST ,8129.22, 
1726 W COURTLAND ST ,4101, 
1727 N TANEY ST ,2215.35, 
1727 W BRISTOL ST ,3812.7, 
1727 W HUNTINGDON ST ,4665.37, 
1728 N 61ST ST ,4198.18, 
1728 N WILTON ST ,1363.02, 
1728 S RUBY ST ,3341.38, 
1729 MASTER ST ,5944.77, 
1729 S 55TH ST ,2937.17, 
1730 FRENCH ST ,2550.28, 
1730 N 03RD ST ,1097.83, 
1730 W CHELTENHAM AVE ,7267.05, 
1730 W COURTLAND ST ,793.72, 
1731 MASCHER ST ,2974.79, 
1731 W JUNIATA ST ,3377.87, 
1732 ROSELYN ST ,9818.16, 
1733 E TULPEHOCKEN ST ,13762.06, 
1733 N WILTON ST ,1998.43, 
1733 S 18TH ST ,2450.59, 
1733 SAINT PAUL ST ,2384.16, 
1734 HARRISON ST ,9963.09, 
1734 N DOVER ST ,1919.45, 
1734 N TANEY ST ,2849.73, 
1734 S RINGGOLD ST ,0, 
1734 W OXFORD ST ,3039.99, 
1735 N STILLMAN ST ,2298.88, 
1736 ABERDEEN ST ,6142.04, 
1736 ELLSWORTH ST ,4061.75, 
1736 N 27TH ST ,777.69, 
1736 N WILTON ST ,1591.46, 
1737 N 23RD ST ,10144.09, 
1737 S 55TH ST ,6785.94, 
1737 WINDRIM AVE ,20218.61, 
1738 N WILTON ST ,1034.95, 
1738 W ERIE AVE ,7117.64, 
1739 SAINT PAUL ST ,2205.33, 
1741 BELFIELD AVE ,1437.18, 
1741 N WILTON ST ,2307.08, 
1742 N WILTON ST ,1030.93, 
1742 W PACIFIC ST ,5572.05, 
1743 N 29TH ST ,1957.77, 
1743 N LINDENWOOD ST ,6350.53, 
1743 S 55TH ST ,4687.79, 
1744 N PEACH ST ,15518.67, 
1745 N 26TH ST ,2283.41, 
1745 SAINT PAUL ST ,4704.11, 
1746 S 24TH ST ,4924.38, 
1746 S CLEVELAND ST ,5902.44, 
1747 N HOLLYWOOD ST ,4231.42, 
1748 N WILTON ST ,4197.04, 
1750 N 25TH ST ,1466.3, 
1752 N DOVER ST ,856.62, 
1752 S 60TH ST ,2808.65, 
1757 SAINT PAUL ST ,4490.97, 
1758 WATERLOO ST ,1747.84, 
1759 ROSELYN ST ,13562.84, 
1759 SAINT PAUL ST ,8388.87, 
177 LEVERING ST ,0, 
1771 FRANKFORD AVE ,2239.97, 
1774 WATERLOO ST ,3182.46, 
1782 FRANKFORD AVE ,3939.02, 
18 N 53RD ST ,11263.14, 
18 N 54TH ST ,3820.19, 
18 N HIRST ST ,8069.7, 
18 S 61ST ST ,907.63, 
18 S 62ND ST ,2843.88, 
18 SOLAR WAY ,929.29, 
1800 N 31ST ST ,578.8, 
1800 RIDGE AVE ,48568.96, 
1800 S 16TH ST ,0, 
1800 S 22ND ST ,3257.29, 
1800 S RINGGOLD ST ,10695.45, 
1800 W ONTARIO ST ,747.67, 
1800 WOMRATH ST ,8770.07, 
1801 N 19TH ST ,3047.88, 
1801 S 17TH ST ,2949.53, 
1802 EVARTS ST ,20689.37, 
1803 RIDGE AVE ,7512.47, 
1804 N 24TH ST ,490.61, 
1805 MASTER ST ,5244.75, 
1805 N NEWKIRK ST ,2480.73, 
1806 ADDISON ST ,21613.87, 
1806 N VAN PELT ST ,891.2, 
1808 MASTER ST ,5812.81, 
1808 N 07TH ST ,39.54, 
1809 N 26TH ST ,76.08, 
1809 W CHEW AVE ,5498.77, 
1811 E SOMERSET ST ,4963.31, 
1811 N BAILEY ST ,678.36, 
1811 N RINGGOLD ST ,1429.66, 
1812 N GRATZ ST ,1082.3, 
1812 S ALDEN ST ,10161.91, 
1812 S CONESTOGA ST ,1086.63, 
1813 E SOMERSET ST ,4728.73, 
1813 LATONA ST ,2076.98, 
1813 MARGARET ST ,4786.23, 
1814 GILLINGHAM ST ,3806.15, 
1814 LINDLEY AVE ,8034.01, 
1814 N RINGGOLD ST ,552.77, 
1814 TITAN ST ,375.21, 
1815 N NEWKIRK ST ,602.79, 
1816 E ONTARIO ST ,8892.76, 
1816 W HUNTINGDON ST ,1654.46, 
1818 67TH AVE ,10823.34, 
1818 GILLINGHAM ST ,2779.84, 
1818 N BAILEY ST ,1403.62, 
1818 W VENANGO ST ,8118.37, 
1819 N NEWKIRK ST ,4067.67, 
1820 E GLENWOOD AVE ,529.7, 
1821 BRUNNER ST ,1383.84, 
1821 N 33RD ST ,253.58, 
1821 ORTHODOX ST ,10006.21, 
1821 S 22ND ST ,7213.12, 
1821 WHARTON ST ,1439.9, 
1822 FERNON ST ,1883.86, 
1822 POINT BREEZE AVE ,5443.31, 
1823 E PASTORIUS ST ,17757.62, 
1823 HOPE ST ,1429.77, 
1823 N BAILEY ST ,1084.51, 
1823 N VAN PELT ST ,0, 
1823 S 05TH ST ,655.23, 
1823 S 19TH ST ,653.84, 
1823 W ONTARIO ST ,1795.58, 
1823 WHARTON ST ,1439.9, 
1824 N TANEY ST ,2902.29, 
1825 WHARTON ST ,1439.9, 
1826 KINSEY ST ,1421.15, 
1826 POINT BREEZE AVE ,5443.31, 
1826 WILDER ST ,1370.71, 
1827 W TIOGA ST ,9519.4, 
1827 W VENANGO ST ,4678.48, 
1828 RUAN ST ,6850.23, 
1828 TASKER ST ,4703.9, 
1829 INGERSOLL ST ,523.74, 
183 FERN ST ,959.78, 
183 W ONTARIO ST ,843.49, 
1830 CHURCH ST ,4724.08, 
1830 JUDSON ST ,1313.95, 
1830 PENFIELD ST ,5460.82, 
1831 MOUNTAIN ST ,2291.31, 
1831 S RINGGOLD ST ,497.15, 
1831 WHARTON ST ,1439.9, 
1832 73RD AVE ,15848.16, 
1832 JUDSON ST ,2105.31, 
1832 N 21ST ST ,341.2, 
1833 BRUNNER ST ,6184.81, 
1833 GLENIFER ST ,0, 
1835 E MONMOUTH ST ,2307.21, 
1835 MORRIS ST ,3599.48, 
1835 N 25TH ST ,2642.47, 
1836 N 23RD ST ,2108.99, 
1836 W VENANGO ST ,0, 
1837 POPLAR ST ,2961.8, 
1837 S 55TH ST ,10392.17, 
1838 WILDER ST ,2093.8, 
1839 GERRITT ST ,1555.71, 
1839 N TAYLOR ST ,15.2, 
1839 S 06TH ST ,3316.68, 
184 W DAUPHIN ST ,350.64, 
1840 N BUCKNELL ST ,2331.74, 
1840 SEYBERT ST ,1063.77, 
1841 BRUNNER ST ,4909.75, 
1842 DALLAS ST ,13583.81, 
1842 GLENIFER ST ,2519.4, 
1842 N NATRONA ST ,2831.68, 
1843 73RD AVE ,5826.19, 
1843 N 33RD ST ,3708.17, 
1843 N VAN PELT ST ,3057.75, 
1844 E LIPPINCOTT ST ,6648.17, 
1844 MOHICAN ST ,3687.43, 
1844 W HUNTING PARK AVE ,3789.21, 
1845 E WISHART ST ,3273.99, 
1845 N NEWKIRK ST ,1753.18, 
1846 E LIPPINCOTT ST ,3698.27, 
1847 N MARSTON ST ,1391.64, 
1849 E TIOGA ST ,4344.07, 
1849 N 02ND ST ,3416.39, 
1849 N 21ST ST ,1729, 
1849 N MARSTON ST ,1391.64, 
185 W LOGAN ST ,9838.08, 
1851 N 24TH ST ,1541.02, 
1851 N 28TH ST ,3762.55, 
1852 N 27TH ST ,5431.22, 
1852 N VAN PELT ST ,3313.23, 
1852 ROSELYN ST ,7744.74, 
1852 S 56TH ST ,2026.44, 
1853 HOFFMAN ST ,2526.03, 
1854 CLARENCE ST ,4783.83, 
1855 JUDSON ST ,2950.65, 
1857 N 27TH ST ,2090.72, 
1861 N MARSTON ST ,1791.96, 
1862 W NEDRO AVE ,3005.35, 
1863 N TAYLOR ST ,1584.52, 
1866 W NEDRO AVE ,6954.4, 
1868 CLARENCE ST ,3197.18, 
1870 E GLENWOOD AVE ,5604.55, 
19 LOCK ST ,84882.17, 
19 N RUBY ST ,7007.7, 
19 S 54TH ST ,375.11, 
19 S CONESTOGA ST ,114.24, 
19 SOLAR WAY ,1441.98, 
190 W BERKS ST ,12921.84, 
1900 CECIL B MOORE AVE ,742.49, 
1900 RIPLEY ST ,46340.88, 
1900 S BROAD ST ,0, 
1900 W SOMERSET ST ,6934.15, 
1901 N 27TH ST ,2924.63, 
1901 N FRONT ST ,55695.67, 
1902 BONITZ ST ,900.17, 
1902 N 24TH ST ,442.06, 
1902 S 06TH ST ,2777.96, 
1903 BRUNNER ST ,8238.78, 
1903 CHRISTIAN ST ,1828.94, 
1903 E SOMERSET ST ,11160.89, 
1903 NICHOLAS ST ,1237.78, 
1904 E MONMOUTH ST ,6416.26, 
1904 MEDARY AVE ,3599.68, 
1904 N 24TH ST ,746.18, 
1905 BRUNNER ST ,3865.9, 
1905 E MONMOUTH ST ,4325.41, 
1905 E PACIFIC ST ,6102.95, 
1905 POINT BREEZE AVE ,4559.39, 
1905 S 16TH ST ,2314.91, 
1905 S ITHAN ST ,4465.44, 
1905 W VENANGO ST ,3361.21, 
1906 ASHLEY RD ,9192.22, 
1906 INGERSOLL ST ,3679.83, 
1906 N 24TH ST ,384.88, 
1906 N HOWARD ST ,8935.32, 
1906 N LAWRENCE ST ,1692.72, 
1906 N MYRTLEWOOD ST ,2859.19, 
1907 E CUMBERLAND ST ,992.76, 
1907 FEDERAL ST ,3866.1, 
1908 JACKSON ST ,1281.96, 
1909 ANNIN ST ,3750.99, 
1910 MASCHER ST ,2406.92, 
1910 S REDFIELD ST ,7151.59, 
1910 W WESTMORELAND ST ,3263.86, 
1911 DIAMOND ST ,1311.46, 
1911 N 02ND ST ,562.81, 
1912 E CUMBERLAND ST ,2857.76, 
1912 EVARTS ST ,2993.48, 
1912 N 07TH ST ,790.9, 
1912 W BRISTOL ST ,3278.44, 
1913 E LETTERLY ST ,3294.95, 
1913 W HILTON ST ,1844.21, 
1913 W NORRIS ST ,2245.01, 
1914 E SOMERSET ST ,10100.65, 
1914 HART LN ,9176.65, 
1914 MARGARET ST ,5841.46, 
1914 W HILTON ST ,2284.87, 
1914 W WILT ST ,5253.89, 
1915 CONLYN ST ,13377.53, 
1915 E SOMERSET ST ,5780.4, 
1915 N 07TH ST ,1944.25, 
1916 CATHARINE ST ,2307.16, 
1916 N 06TH ST ,853.99, 
1916 N PATTON ST ,2102.68, 
1916 TASKER ST ,824.45, 
1916 W LAVEER ST ,7284.01, 
1916 WOLF ST ,0, 
1917 MC CLELLAN ST ,482.84, 
1917 S CROSKEY ST ,1879.72, 
1917 TASKER ST ,4512.96, 
1917 WHARTON ST ,4217.11, 
1918 EVARTS ST ,2993.48, 
1918 S NORWOOD ST ,4507.11, 
1918 S SALFORD ST ,8002.79, 
1919 CHELTEN AVE ,5804.74, 
1919 E THAYER ST ,9135.1, 
1919 MOUNT VERNON ST 3,1889.36, 
1919 MOUNT VERNON ST 4,1610.25, 
1919 N 32ND ST ,4907.14, 
1919 W SOMERSET ST ,5087.72, 
1920 E ARIZONA ST ,875.56, 
1920 E CORNWALL ST ,0, 
1920 LATONA ST ,1886.28, 
1920 N MARSHALL ST ,1041.24, 
1921 CARPENTER ST ,507.87, 
1921 W SUSQUEHANNA AVE ,3252.68, 
1922 HOPE ST ,3582.73, 
1923 CARPENTER ST ,471.37, 
1923 CHELTEN AVE ,2932.22, 
1923 S BONSALL ST ,4752.37, 
1924 BRIGGS ST ,3779.42, 
1924 HAINES ST ,6574.66, 
1924 W GIRARD AVE ,3397.62, 
1925 INDEPENDENCE ST ,1898.96, 
1925 MOORE ST ,4384.72, 
1925 S NORWOOD ST ,6040.08, 
1926 N NAPA ST ,2281.29, 
1926 PAGE ST ,4654.91, 
1926 S BONSALL ST ,0, 
1927 BONITZ ST ,124.68, 
1927 N 52ND ST ,1061.04, 
1928 E DAUPHIN ST ,4181.57, 
1928 ROWAN ST ,7832.76, 
1928 S ALDEN ST ,7169.49, 
1928 S BONSALL ST ,9579.61, 
1929 E YORK ST ,10203.92, 
1929 S 60TH ST ,8887.21, 
1930 ANNIN ST ,1250.69, 
1930 DENNIE ST ,8871.17, 
1930 E WILLARD ST ,1413.47, 
1930 HAINES ST ,5489.4, 
1930 INDEPENDENCE ST ,955.27, 
1930 W HILTON ST ,2216.28, 
1930 W WESTMORELAND ST ,7094.59, 
1930 WATERLOO ST ,872.62, 
1931 BONITZ ST ,2196.91, 
1932 MOORE ST ,2491.39, 
1932 W BRISTOL ST ,7776.69, 
1933 72ND AVE ,15253.82, 
1933 CECIL B MOORE AVE ,0, 
1933 MC CLELLAN ST ,0, 
1933 PLYMOUTH ST ,88.81, 
1933 TASKER ST ,1345.86, 
1933 WEBSTER ST ,2834.52, 
1934 FONTAIN ST ,2733.42, 
1934 HART LN ,1295.32, 
1934 JOHNSTON ST ,46923.11, 
1934 N STANLEY ST ,2913.85, 
1935 MC CLELLAN ST ,1731.83, 
1935 N 60TH ST ,9354.2, 
1935 S 12TH ST ,6338.03, 
1936 FEDERAL ST ,5465.65, 
1936 S 11TH ST ,25, 
1936 S MOLE ST ,3108.29, 
1937 E LIPPINCOTT ST ,6344.17, 
1938 BRUNNER ST ,6538.48, 
1938 S SALFORD ST ,8798.88, 
1939 N 33RD ST ,738, 
1939 N 61ST ST ,9308.18, 
1939 S 19TH ST ,925.44, 
1939 S ITHAN ST ,7396.43, 
1939 W NORRIS ST ,640.99, 
1940 FERNON ST ,1039.5, 
1940 REED ST ,2374.4, 
1940 S ALDEN ST ,6474.59, 
1940 W WILLARD ST ,1716.8, 
1941 BONITZ ST ,900.17, 
1941 E LETTERLY ST ,938.02, 
1941 W LAVEER ST ,9195.2, 
1942 RUAN ST ,9018.22, 
1942 W YORK ST ,745.13, 
1943 MOUNTAIN ST ,1439.06, 
1943 S ALDEN ST ,9075.04, 
1943 S REDFIELD ST ,6823.6, 
1944 CHELTEN AVE ,2166.69, 
1946 E YORK ST ,1954.61, 
1946 S SALFORD ST ,7378.26, 
1947 HAWORTH ST ,1165.22, 
1948 N NEWKIRK ST ,3603.28, 
1950 71ST AVE ,7027.5, 
1950 DALKEITH ST ,395.35, 
1950 N MYRTLEWOOD ST ,3930.53, 
1951 N HOLLYWOOD ST ,1874.53, 
1952 71ST AVE ,6146.57, 
1952 BONITZ ST ,6640.49, 
1952 N 24TH ST ,1232.71, 
1952 ROWAN ST ,6942.5, 
1953 N STANLEY ST ,2755.71, 
1955 S 60TH ST ,8237.51, 
1959 N 52ND ST ,5818.29, 
1961 WAKELING ST ,5890.41, 
1963 N NAPA ST ,1269.43, 
1963 WAKELING ST ,19561.63, 
1966 N NAPA ST ,766.53, 
1973 73RD AVE ,3055.88, 
1975 ELSTON ST ,18819.84, 
1979 W HUNTING PARK AVE ,7577.41, 
1981 W HUNTING PARK AVE ,13985.4, 
1982 W CHELTENHAM AVE ,8412.33, 
1983 W HUNTING PARK AVE ,2911.22, 
2 SOLAR WAY ,2803.88, 
20 S 43RD ST ,152.06, 
20 S 59TH ST ,735.7, 
20 S SICKELS ST ,2826.92, 
20 S YEWDALL ST ,4551.58, 
200 LINTON ST ,1079, 
200 N ROBINSON ST ,1532.52, 
200 W ALLENS LN ,82555.36, 
200 W GRANGE AVE ,13008.1, 
2000 E MADISON ST ,0, 
